"Estimate","Std_Error","z_value","p_value","Variable"
-235.903041559121,38.3281260563843,-6.15482847275354,7.51587956346241e-10,"(Intercept)"
-1.76998387370529,0.14222403736365,-12.4450402795109,1.48809286581605e-35,"emp.var.rate"
2.18439921782923,0.252305860894998,8.65774267026764,4.81198327321518e-18,"cons.price.idx"
0.0201544287151305,0.00774795399110467,2.60125818225941,0.00928825219926523,"cons.conf.idx"
0.333284296843863,0.129859721410752,2.56649477777385,0.0102732172187952,"euribor3m"
0.24947106796936,0.0897926735396433,2.77830092517759,0.00546439856436668,"educationuniversity.degree"
-0.262666585080143,0.079405559082604,-3.30791178999062,0.000939944107535674,"jobblue-collar"
0.267234798066139,0.0913409849924547,2.92568334015901,0.0034370058715048,"jobretired"
0.228217298534079,0.105121979694661,2.17097603371782,0.0299329840712246,"jobstudent"
-0.642988264094038,0.076797993014149,-8.37246181649013,5.64268106661397e-17,"contacttelephone"
0.870714914648041,0.12032975923867,7.23607293953783,4.61862994653843e-13,"monthaug"
-0.5188574561161,0.126098817910919,-4.11468929457088,3.87701286100019e-05,"monthjun"
2.03385250105427,0.144243252661515,14.1001569468692,3.78926040677871e-45,"monthmar"
-0.451658225814355,0.0824160470014653,-5.4802219015227,4.24792724758768e-08,"monthmay"
-0.403388750261497,0.120763203759563,-3.34032832604074,0.000836793980223736,"monthnov"
0.37784362124683,0.179519827675383,2.10474589987946,0.0353134327028268,"monthsep"
0.180875496214139,0.0655976256882021,2.75734821674605,0.00582722596976614,"day_of_weekwed"
0.502050557394069,0.064127442329515,7.82895027707969,4.9196014521784e-15,"poutcomenonexistent"
1.02837257866779,0.203779868657457,5.0464875919438,4.50006103121576e-07,"poutcomesuccess"
-0.0402126994671442,0.0115531947006719,-3.48065626080081,0.000500186962910002,"campaign"
-0.000853162299334607,0.000203359105103862,-4.19534841530144,2.72452449575419e-05,"pdays"
0.00469817257640373,7.43816911788837e-05,63.1630244209546,0,"duration"
